ID,goal,enddate,startdate,coinNum,teamSize,country_region,categories,overallrating,ratingTeam,ratingProduct,platform,acceptingCurrencyNum,whitepaper,video,socialMedia,GitHub,teamLinkedIn,teamPhotos,CEOPhoto
447,Y,17-11-2017,17-10-2017,54300000,14,Singapore,"Cryptocurrency,Platform,Retail",3.6,3.7,1.7,Ethereum,2,1,1,3,1,100%,100%,0
448,Y,05-03-2018,29-01-2018,150000000,31,British Virgin Islands,"Cryptocurrency,Other",3.9,4.1,4.1,Ethereum,2,1,1,0,0,88%,100%,1
449,N,30-04-2018,01-02-2018,0,9,Ukraine,"Cryptocurrency,Entertainment",3.2,3,3,Ethereum,1,1,1,0,1,100%,100%,1
450,Y,31-08-2017,17-07-2017,40000000,8,Canada,Health,2.7,2,1,unknown,unknown,1,1,0,0,88%,100%,0
451,Y,07-09-2017,08-08-2017,20000000,16,China,"Cryptocurrency,Platform",4.1,5,5,NEO,1,1,1,3,1,0%,100%,0
452,N,30-05-2018,08-05-2018,0,10,Ecuador,"Platform,Manufacturing,Business services,Big Data,Artificial Intelligence,Tourism",2.3,3.5,2,Ethereum,2,1,0,0,1,100%,100%,0
453,Y,28-03-2018,20-12-2017,45000000,21,British Virgin Islands,"Cryptocurrency,Communication,Charity,Business services,Entertainment,Infrastructure,Internet,Media,Other,Platform,Retail,Smart Contract,Software,Sports",4,4.3,3.7,Ethereum,3,1,1,0,1,95%,100%,1
454,Y,07-02-2018,07-12-2017,481302774,15,Russia,"Platform,Communication",3.2,4,3.4,Ethereum,1,1,1,3,1,87%,100%,1
455,N,03-01-2018,03-10-2017,440000000,16,India,Cryptocurrency,2.7,3,3,Ethereum,1,1,0,0,1,63%,100%,0
456,N,12-10-2017,14-09-2017,0,3,USA,"Platform,Software",2.3,0,0,Waves,2,1,1,0,0,100%,100%,0
457,Y,31-05-2018,03-04-2018,474500000,38,Thailand,"Internet,Media,Platform,Smart Contract",4.3,5,4,Stellar,2,1,1,1,1,50%,100%,0
458,N,22-03-2018,01-03-2018,450000000,5,Romania,Entertainment,2.1,0,0,Ethereum,1,1,1,0,1,0%,0%,0
459,N,02-04-2018,05-02-2018,150000000,6,Italy,"Internet,Media,Platform",3.1,3,2,Ethereum,3,1,0,0,1,100%,100%,1
460,N,06-06-2018,02-04-2018,2100000,7,Switzerland,"Banking,Business services",2.4,0,0,unknown,4,1,1,0,1,0%,100%,0
461,N,19-12-2017,28-11-2017,500000,6,USA,"Platform,Business services",2.5,0,0,Ethereum,1,1,1,0,0,100%,100%,1
462,N,30-04-2018,03-04-2018,500000000,39,Russia,"Banking,Business services,Cryptocurrency,Infrastructure,Investment,Legal,Platform",3.4,4.1,3.2,Ethereum,4,1,1,0,1,85%,100%,0
463,N,25-01-2018,15-12-2017,58000000,8,Ukraine,Cryptocurrency,2.5,2.7,2.4,Ethereum,1,1,1,0,0,25%,100%,0
464,N,01-03-2018,01-01-2018,0,4,UK,"Business services,Cryptocurrency,Health",1.5,2,1,Ethereum,3,1,0,0,0,0%,75%,0
465,N,22-09-2017,22-08-2017,600000000,3,Switzerland,Cryptocurrency,2.9,0,0,Ethereum,2,1,1,0,1,100%,100%,0
466,N,19-12-2017,20-11-2017,1500000,5,Cyprus,"Business services,Cryptocurrency",2.1,0,0,Waves,5,1,1,0,0,0%,100%,0
467,N,31-05-2018,17-04-2018,22500000,12,Russia,Infrastructure,2.8,4,3,Ethereum,4,1,0,0,0,0%,100%,0
468,N,15-03-2018,03-03-2018,200000000,6,United Arab Emirates,"Business services,Smart Contract",3,0,0,Ethereum,2,1,0,1,0,100%,100%,1
469,N,22-05-2018,23-04-2018,65000000,6,Estonia,"Business services,Media,Platform",2.7,3,2,Ethereum,1,1,1,0,0,100%,100%,1
470,N,13-04-2018,27-02-2018,0,4,France,Art,2.1,0,0,Ethereum,1,1,0,0,0,100%,100%,0
471,N,02-05-2018,23-03-2018,12000000,6,Cyprus,"Cryptocurrency,Investment,Platform",2,1,1,X11,1,1,0,0,0,0%,100%,0
472,Y,03-06-2018,10-02-2018,75000000000,17,Switzerland,"Platform,Real estate,Software",3.7,3.3,2.7,Ethereum,2,1,1,2,1,71%,100%,0
473,Y,15-02-2018,15-01-2018,400000000,12,Ukraine,"Platform,Cryptocurrency",3.2,2.6,2.9,Ethereum,1,1,1,0,1,0%,0%,0
474,N,23-03-2018,21-02-2018,150,4,Germany,"Communication,Entertainment,Internet,Media",1.9,0,0,Ethereum,1,1,0,0,1,25%,100%,0
475,N,15-04-2018,21-03-2018,500000000,18,Switzerland,Art,3.9,3.7,3.7,Ethereum,1,1,1,0,1,94%,100%,0
476,N,08-04-2018,26-03-2018,30000000000,5,USA,"Media,Entertainment,Platform",2.7,2.4,2,Ethereum,1,1,1,0,1,100%,100%,1
477,Y,16-10-2017,16-09-2017,100000000,20,Italy,"Platform,Cryptocurrency",3.3,0,0,unknown,unknown,1,0,1,1,15%,95%,1
478,Y,31-05-2018,15-04-2018,65000000,26,Singapore,Education,3.3,4,4,Multichain,4,1,1,0,0,12%,100%,1
479,Y,15-12-2017,16-10-2017,10000000000,10,USA,"Banking,Cryptocurrency",3.1,5,5,Ethereum,1,1,1,0,0,90%,100%,0
480,N,07-02-2018,08-01-2018,50000000,15,Switzerland,Cryptocurrency,2.4,0,0,Separate blockchain,1,1,1,0,1,0%,100%,0
481,N,31-01-2018,01-01-2018,0,4,Indonesia,"Cryptocurrency,Investment,Real estate,Tourism",1.3,0,0,unknown,unknown,1,0,0,0,75%,100%,0
482,N,19-09-2017,19-08-2017,0,18,UK,"Media,Internet",2.3,0,0,Ethereum,1,1,0,0,0,0%,100%,0
483,Y,13-11-2016,13-11-2016,820,15,Poland,"Platform,Infrastructure,Software",3,0,0,Ethereum,1,1,1,3,0,86%,100%,1
484,Y,27-05-2018,13-05-2018,492000000,15,Netherlands,"Business services,Retail",4.2,4.3,3.9,Ethereum,1,1,1,3,0,93%,100%,1
485,Y,18-01-2018,22-11-2017,266400000,5,USA,Internet,4.1,3.8,3.9,Stellar,3,1,1,0,1,100%,100%,0
486,N,10-12-2017,01-11-2017,0,3,Switzerland,"Cryptocurrency,Platform",1.8,1.6,2.1,Ethereum,1,0,1,0,1,0%,100%,0
487,Y,03-06-2018,03-05-2018,37500000,10,Bulgaria,Entertainment,2.4,2,2.1,Ethereum,1,1,1,0,0,100%,100%,0
488,N,15-04-2018,15-01-2018,0,15,Germany,"Communication,Infrastructure,Internet",2.1,0,0,Ethereum,unknown,1,1,0,1,13%,100%,0
489,Y,15-04-2018,24-03-2018,200000000,13,Singapore,"Infrastructure,Platform",3.7,4.2,3,Ethereum,1,1,1,3,1,85%,100%,1
490,N,30-01-2018,01-12-2017,0,13,USA,"Business services,Entertainment,Communication",2.4,0,0,Ethereum,unknown,1,1,0,0,8%,92%,1
491,Y,07-08-2017,23-07-2017,335000000,11,USA,Internet,2.5,3,4,Ethereum,unknown,1,0,0,0,100%,100%,1
492,N,26-02-2018,09-10-2017,15260000,9,Russia,"Communication,Platform",2.5,2,2,Ethereum,1,1,0,0,1,0%,100%,0
493,Y,25-04-2018,25-01-2018,800000,17,Tanzania,"Investment,Manufacturing",2.8,3,3,UNIVERSA,4,1,1,0,0,29%,100%,1
494,Y,15-09-2017,16-08-2017,58500000,3,UK,Cryptocurrency,3,0,0,Ethereum,1,1,0,0,1,100%,100%,1
495,N,31-03-2018,02-02-2018,8000000000,6,Estonia,"Big Data,Business services,Investment,Platform",2.6,0,0,Ethereum,unknown,1,1,0,0,100%,100%,1
496,N,30-05-2018,01-03-2018,0,22,Russia,"Software,Business services,Cryptocurrency",3.4,4,3.6,Ethereum,1,1,1,0,1,62%,100%,1
497,N,04-04-2018,09-03-2018,65000000,5,Ukraine,Platform,1.9,0,0,Separate blockchain,unknown,1,0,0,1,0%,80%,0
498,N,28-03-2018,28-03-2018,216000000,3,Australia,Business services,2.6,3.9,3.9,Ethereum,1,1,0,0,0,0%,100%,1
499,Y,19-12-2017,19-11-2017,200000000,14,Russia,"Cryptocurrency,Investment",2.6,3,2.3,Ethereum,1,1,1,0,0,57%,100%,0
500,Y,26-08-2017,12-08-2017,29400000,7,UK,"Platform,Software",3.4,0,0,unknown,2,1,1,0,1,43%,86%,0
501,Y,17-03-2017,12-03-2017,51000000,18,Singapore,"Cryptocurrency,Business services",3.7,4.3,4.3,Ethereum,2,1,1,3,1,0%,100%,0
502,Y,06-04-2018,09-03-2018,52500000,16,USA,Investment,4.3,4.5,4.1,Ethereum,1,1,1,3,1,88%,88%,0
503,Y,03-05-2018,03-04-2018,100,17,Russia,"Cryptocurrency,Platform,Investment",2.9,2.5,2.2,NEM,9,1,1,0,0,94%,100%,0
504,N,27-03-2018,05-03-2018,170000000,18,Switzerland,Cryptocurrency,4.1,4.8,3.7,Ethereum,1,1,1,3,1,89%,100%,1
505,N,09-04-2018,09-03-2018,100000000,5,Singapore,"Investment,Platform,Cryptocurrency",2.9,2.5,2,Ethereum,1,1,1,0,1,100%,100%,0
506,Y,17-11-2017,17-10-2017,156118,7,Bulgaria,"Platform,Entertainment",2.4,0,0,Ethereum,7,1,0,0,0,57%,100%,1
507,N,15-12-2017,10-12-2017,0,4,Canada,Internet,2.4,0,0,NEO,3,1,1,0,0,0%,100%,0
508,Y,15-01-2018,10-11-2017,20000000,16,Russia,"Entertainment,Platform,Cryptocurrency",3.1,3.7,3.1,Ethereum,1,1,1,0,1,81%,100%,0
509,Y,17-02-2018,20-01-2018,695800000,10,British Virgin Islands,"Platform,Business services,Investment",3.1,3.4,3.1,Ethereum,1,1,1,0,0,100%,22%,1
510,N,31-03-2018,14-01-2018,400000000,5,India,"Business services,Internet",2.3,0,0,Ethereum,1,1,0,0,0,100%,100%,0
511,N,15-12-2017,14-11-2017,0,3,South Korea,Entertainment,1.6,2,2,Ethereum,1,1,0,0,0,0%,0%,1
512,Y,07-03-2018,28-02-2018,60000000,26,Australia,"Cryptocurrency,Platform",3.5,3.7,3.2,Ethereum,2,1,1,0,1,100%,100%,1
513,Y,15-04-2018,01-02-2018,600000000,32,USA,"Business services,Big Data,Cryptocurrency,Infrastructure,Internet,Other,Platform,Smart Contract,Software",4.1,4.2,3.9,Graphene,4,1,1,0,1,100%,97%,1
514,N,10-12-2017,10-10-2017,400000000,3,Poland,Software,1.6,1.5,1.5,Ethereum,1,1,0,0,0,0%,100%,0
515,Y,11-12-2017,01-12-2017,300000000,10,South Africa,"Business services,Platform",3.2,5,4,Ethereum,1,1,1,0,1,30%,100%,1
516,Y,15-04-2018,25-02-2018,356264000,16,UK,"Real estate,Sports",3.6,3.2,4,Ethereum,3,1,1,0,1,81%,94%,0
517,Y,12-03-2018,10-02-2018,500000000,12,Gibraltar,"Platform,Cryptocurrency,Business services,Investment,Banking",3.6,4.3,3.9,Ethereum,3,1,1,2,0,75%,100%,1
518,Y,21-04-2018,21-03-2018,30000000,10,Singapore,Investment,2.9,3.4,2.6,Ethereum,4,1,1,0,1,100%,100%,0
519,Y,29-01-2018,04-12-2017,43200000,17,USA,"Entertainment,Cryptocurrency,Platform",3.3,3.3,2.9,Ethereum,1,1,1,2,1,100%,100%,1
520,N,31-03-2018,01-02-2018,0,10,Thailand,"Cryptocurrency,Platform",2.8,0,0,Ethereum,2,1,1,0,0,0%,100%,1
521,N,31-03-2018,03-02-2018,4000000000,14,Singapore,Cryptocurrency,2.4,0,0,Ethereum,2,1,0,0,1,0%,100%,0
522,Y,31-03-2018,20-02-2018,476228844,6,Cayman Islands,"Banking,Cryptocurrency,Investment,Platform,Software",4,0,0,Ethereum,1,1,1,2,0,100%,100%,0
523,N,31-05-2018,01-04-2018,40000000000,6,Singapore,"Entertainment,Casino & Gambling,Platform,Smart Contract",2.4,2.4,2.7,Ethereum,2,1,0,0,0,83%,100%,0
