Goal,Offering_days,Coin_Num,Team_Size,Country_Region,Category_Num,Overall_Rating,Team_Rating,Product_Rating,Platform,Accepting_Currency_Num,Whitepaper,Video,Social_Media,GitHub,Team_LinkedIn,Team_Photos,CEO_Photo
1,52.0,165000000,18,Gibraltar,3,3.2,3.6,2.5,1.0,1.0,1,1,3,1,1.0,1.0,0
1,55.0,64000000,14,Lithuania,5,3.4,3.4,3.2,1.0,4.0,1,1,0,1,0.88,1.0,0
0,35.0,130000000,12,Seychelles,1,1.8,1.0,1.0,1.0,1.0,1,0,0,0,0.0,1.0,0
1,28.0,15000000000,8,USA,1,3.6,5.0,5.0,1.0,8.0,1,1,2,1,0.5,1.0,1
0,8.0,200000000,20,Denmark,2,2.4,3.0,3.0,1.0,3.0,1,0,0,0,0.0,0.8,0
1,28.0,31000000,14,Switzerland,1,4.2,4.7,4.3,1.0,1.0,1,1,3,1,0.79,0.93,1
1,31.0,73270000,14,UK,2,3.7,4.0,3.3,1.0,1.0,1,1,0,1,1.0,1.0,1
1,30.0,60000000,16,Australia,4,2.9,3.0,2.9,1.0,1.0,1,1,0,1,1.0,1.0,1
1,35.0,40000000,14,Estonia,2,3.7,3.6,2.5,1.0,1.0,1,1,2,1,0.89,1.0,1
1,46.0,40000000,24,Russia,2,4.3,4.5,4.7,1.0,6.0,1,1,2,0,0.25,1.0,1
0,21.0,200000000,6,Russia,3,2.0,1.6,1.4,1.0,1.0,1,0,0,0,0.0,1.0,0
1,14.0,7000000,10,Switzerland,1,3.4,3.5,2.8,1.0,1.0,1,1,2,1,1.0,1.0,0
0,42.0,0,7,Russia,1,2.4,0.0,0.0,1.0,1.0,1,0,0,0,0.43,0.86,0
0,55.0,141,18,Belarus,6,3.5,3.2,2.9,1.0,5.0,1,1,0,1,1.0,1.0,0
0,46.0,50000000,2,USA,3,2.1,0.0,0.0,1.0,8.0,1,1,1,0,0.5,1.0,1
0,31.0,1500000000,6,UK,6,1.9,0.0,0.0,1.0,1.0,1,0,0,0,0.0,1.0,0
0,28.0,0,3,Russia,1,1.8,0.0,0.0,0.0,1.0,1,0,0,0,0.0,1.0,0
1,7.0,904000000,19,Slovenia,5,3.6,3.7,2.9,1.0,1.0,1,1,0,0,1.0,1.0,0
0,14.0,0,7,Singapore,4,1.7,3.0,2.2,0.0,1.0,1,1,0,0,0.0,1.0,0
1,36.0,9325000,5,USA,1,2.9,0.0,0.0,1.0,1.0,1,1,0,1,0.43,1.0,0
1,34.0,80000000,5,Malta,2,3.0,4.1,3.4,1.0,1.0,1,1,0,1,1.0,1.0,0
1,68.0,160000000,17,USA,1,3.5,3.4,3.2,1.0,2.0,1,1,0,1,1.0,1.0,0
1,59.0,66666666,19,Estonia,2,3.8,4.0,4.2,1.0,1.0,1,1,0,1,0.37,1.0,1
1,31.0,200000000,9,Argentina,3,3.5,4.0,4.0,1.0,1.0,1,1,3,0,1.0,1.0,0
0,21.0,18000000,13,Ukraine,4,1.8,1.8,1.3,1.0,1.0,0,1,0,1,0.31,1.0,0
1,38.0,3000000000,37,Singapore,10,4.3,4.3,4.3,1.0,1.0,1,1,0,1,0.68,0.7,0
1,30.0,1000000000,16,Russia,2,3.8,5.0,5.0,1.0,3.0,1,1,0,1,0.88,1.0,1
1,7.0,325000000,13,USA,2,4.1,4.3,3.8,1.0,3.0,1,1,3,1,1.0,1.0,1
1,30.0,342000000,19,Singapore,7,3.7,3.8,3.4,1.0,1.0,1,1,0,1,0.95,1.0,0
1,150.0,350,2,Estonia,4,3.4,3.0,3.0,1.0,1.0,1,1,0,0,1.0,1.0,1
0,31.0,112000000,7,Kyrgyzstan,1,1.9,0.0,0.0,1.0,1.0,0,1,0,1,0.0,1.0,0
0,30.0,1950000,6,Singapore,1,2.3,1.6,2.3,1.0,1.0,1,0,0,1,0.83,1.0,0
0,20.0,3250000,21,Spain,1,3.3,3.0,1.0,1.0,1.0,1,0,0,1,0.9,1.0,0
0,30.0,1240000000000,4,Israel,3,2.9,0.0,0.0,1.0,1.0,1,1,0,1,1.0,1.0,0
0,8.0,0,2,UK,2,1.6,2.0,2.0,1.0,1.0,1,0,0,0,1.0,1.0,0
0,49.0,175,13,Czech Republic,6,2.3,0.0,0.0,0.0,1.0,1,1,0,1,0.0,0.62,0
0,60.0,0,18,Russia,1,2.5,0.0,0.0,1.0,1.0,1,0,0,1,0.0,1.0,0
1,30.0,10000000,7,Russia,2,2.8,3.0,3.0,1.0,1.0,1,1,0,1,0.71,1.0,0
1,90.0,1000000000,11,South Africa,2,3.4,3.5,3.5,1.0,1.0,1,1,0,0,1.0,1.0,1
