Goal,Offering_days,Coin_Num,Team_Size,Category_Num,Overall_Rating,Team_Rating,Product_Rating,Platform,Accepting_Currency_Num,Whitepaper,Video,Social_Media,GitHub,Team_LinkedIn,Team_Photos,CEO_Photo,Afghanistan,Argentina,Australia,Austria,Belarus,Belgium,Belize,Brazil,BritishVirginIslands,Bulgaria,Cambodia,Canada,CaymanIsland,Chile,China,Colombia,CostaRica,Croatia,Curacao,Cyprus,CzechRepublic,Czechia,Denmark,Dubai,Ecuador,England,Estonia,Finland,France,Georgia,Germany,Gibraltar,Greece,Guinea_Bissau,Hungary,India,India_Australia,Indonesia,Ireland,IsleofMan,Israel,Italy,Japan,Jersey,Kenya,Korea,Kyrgyzstan,Laos,LatinAmerica,Latvia,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,MarshallIslands,Mauritius,Mexico,Monaco,Netherland,NewCaledonia,NewZealand,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Rasal_Khaimah,Romania,Russia,SaintKittsandNevis,SaintLucia,Serbia,Serbia_France,Seychelles,Singapore,SlovakRepublic,Slovenia,SouthAfrica,SouthKorea,Spain,Sweden,Switzerland,Tanzania,Thailand,Turkey,UAE,UK,USA,Ukraine,Vietnam,VirginIslands,india
0,28.0,400000000,1,1,1.3,1.0,1.0,0.0,3.0,1,0,0,0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32.0,3000000,9,1,2.8,0.0,0.0,1.0,2.0,1,1,0,1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,17.0,142975000,23,5,3.6,3.5,3.5,1.0,3.0,1,0,3,1,0.96,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,89.0,200000000,9,5,3.9,4.6,4.3,1.0,7.0,1,1,0,0,1.0,0.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,30.0,24000000,11,3,3.2,3.2,2.7,1.0,4.0,1,1,0,1,0.91,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28.0,122400000,16,3,3.0,3.1,2.6,1.0,1.0,1,1,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,91.0,1,10,4,4.3,3.9,4.4,1.0,1.0,1,1,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.0,204000000,21,5,4.1,5.0,4.6,1.0,1.0,1,1,0,0,0.9,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45.0,21000000,4,1,2.1,2.3,2.3,1.0,1.0,1,0,0,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27.0,0,10,5,3.0,3.0,3.2,1.0,3.0,1,1,0,1,0.6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
